"COMPENDEX SOURCE LIST: UPDATED FEBRUARY 1, 2023",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Source title,Source type,ISSN,EISSN,Publisher,Country/Region,Subject 1,Subject 2,Subject 3,Subject 4,Subject 5,Subject 6,Subject 7,Subject 8,"Open Access (OA, verified as of February 1, 2023, see definition)
(开源期刊，2023年2月1日确认)"
2D Materials,Journal,-,20531583,Institute of Physics,United States,Chemistry (all),Mechanical Engineering,Mechanics of Materials,Materials Science (all),Condensed Matter Physics,-,-,-,-
3D Printing and Additive Manufacturing,Journal,23297662,23297670,Mary Ann Liebert Inc.,United States,Industrial and Manufacturing Engineering,Materials Science (miscellaneous),-,-,-,-,-,-,-
3D Printing in Medicine,Journal,-,23656271,BioMed Central Ltd,United Kingdom,Computer Science Applications,Biomedical Engineering,"Radiology, Nuclear Medicine and Imaging",-,-,-,-,-,OA (DOAJ)
3DTV-Conference,Proceeding,21612021,2161203X,IEEE Computer Society,United States,Computer Graphics and Computer-Aided Design,Computer Networks and Communications,Computer Vision and Pattern Recognition,Human-Computer Interaction,Electrical and Electronic Engineering,-,-,-,-
AAAI Fall Symposium - Technical Report,Proceeding,-,-,Association for the Advancement of Artificial Intelligence,United States,Engineering (all),-,-,-,-,-,-,-,-
AAAI Spring Symposium - Technical Report,Proceeding,-,-,Association for the Advancement of Artificial Intelligence,United States,Artificial Intelligence,-,-,-,-,-,-,-,-
AAAI Workshop - Technical Report,Proceeding,-,-,Association for the Advancement of Artificial Intelligence,United States,Engineering (all),-,-,-,-,-,-,-,-
AAC: Augmentative and Alternative Communication,Journal,07434618,14773848,Taylor and Francis Ltd.,United Kingdom,Rehabilitation,Speech and Hearing,-,-,-,-,-,-,-
AACE International Transactions,Proceeding,15287106,-,Association for the Advancement of Cost Engineering,United States,Engineering (all),-,-,-,-,-,-,-,-
AAPG Bulletin,Journal,01491423,-,American Association of Petroleum Geologists,United States,Earth and Planetary Sciences (miscellaneous),Geochemistry and Petrology,Geology,Energy Engineering and Power Technology,Fuel Technology,-,-,-,OA (DOAJ)
AATCC Journal of Research,Journal,-,23305517,SAGE Publications Inc.,United States,Process Chemistry and Technology,Materials Chemistry,Polymers and Plastics,-,-,-,-,-,-
AATCC Review,Trade journal,15328813,23305525,American Association of Textile Chemists and Colorists,United States,Chemical Engineering (all),Chemistry (miscellaneous),Materials Science (miscellaneous),-,-,-,-,-,-
ABB Review,Journal,10133119,-,ABB Corporate Management Services AG,Switzerland,Electrical and Electronic Engineering,Mechanical Engineering,-,-,-,-,-,-,-
Abel Symposia,Proceeding,21932808,21978549,Springer Science and Business Media Deutschland GmbH,Germany,Mathematics (all),-,-,-,-,-,-,-,-
ABU Technical Review,Journal,01266209,-,Asia Pacific Broadcasting Union,Malaysia,Electrical and Electronic Engineering,-,-,-,-,-,-,-,-
Accident Analysis and Prevention,Journal,00014575,-,Elsevier Ltd,United Kingdom,"Safety, Risk, Reliability and Quality","Public Health, Environmental and Occupational Health",Human Factors and Ergonomics,Law,-,-,-,-,-
ACI Materials Journal,Journal,0889325X,-,American Concrete Institute,United States,Civil and Structural Engineering,Building and Construction,Materials Science (all),-,-,-,-,-,-
ACI Structural Journal,Journal,08893241,-,American Concrete Institute,United States,Civil and Structural Engineering,Building and Construction,-,-,-,-,-,-,-
ACM Communications in Computer Algebra,Journal,19322232,19322240,Association for Computing Machinery,United States,Computational Theory and Mathematics,Computational Mathematics,-,-,-,-,-,-,-
ACM Computing Surveys,Journal,03600300,15577341,Association for Computing Machinery,United States,Computer Science (all),Theoretical Computer Science,-,-,-,-,-,-,-
ACM Inroads,Trade journal,21532184,21532192,Association for Computing Machinery,United States,Computer Science (all),Education,-,-,-,-,-,-,-
ACM International Conference Proceeding Series,Proceeding,-,-,Association for Computing Machinery,United States,Computer Networks and Communications,Computer Vision and Pattern Recognition,Human-Computer Interaction,Software,-,-,-,-,-
ACM Journal of Experimental Algorithmics,Journal,10846654,-,Association for Computing Machinery,United States,Theoretical Computer Science,-,-,-,-,-,-,-,-
ACM Journal on Emerging Technologies in Computing Systems,Journal,15504832,15504840,Association for Computing Machinery,United States,Hardware and Architecture,Software,Electrical and Electronic Engineering,-,-,-,-,-,-
ACM SIGBED Review,Journal,-,15513688,Association for Computing Machinery,United States,Computer Science (miscellaneous),Engineering (miscellaneous),-,-,-,-,-,-,-
ACM SIGPLAN Notices,Journal,15232867,-,Association for Computing Machinery,United States,Computer Science (all),-,-,-,-,-,-,-,-
ACM Transactions on Accessible Computing,Journal,19367228,-,Association for Computing Machinery,United States,Computer Science Applications,Human-Computer Interaction,-,-,-,-,-,-,-
ACM Transactions on Algorithms,Journal,15496325,15496333,Association for Computing Machinery,United States,Mathematics (miscellaneous),-,-,-,-,-,-,-,-
ACM Transactions on Applied Perception,Journal,15443558,15443965,Association for Computing Machinery,United States,Computer Science (all),Theoretical Computer Science,Experimental and Cognitive Psychology,-,-,-,-,-,-
ACM Transactions on Architecture and Code Optimization,Journal,15443566,15443973,Association for Computing Machinery,United States,Hardware and Architecture,Information Systems,Software,-,-,-,-,-,-
ACM Transactions on Asian and Low-Resource Language Information Processing,Journal,23754699,23754702,Association for Computing Machinery,United States,Computer Science (all),-,-,-,-,-,-,-,-
ACM Transactions on Autonomous and Adaptive Systems,Journal,15564665,15564703,Association for Computing Machinery,United States,Computer Science (miscellaneous),Software,Control and Systems Engineering,-,-,-,-,-,-
ACM Transactions on Computation Theory,Journal,19423454,19423462,Association for Computing Machinery,United States,Computational Theory and Mathematics,Theoretical Computer Science,-,-,-,-,-,-,-
ACM Transactions on Computational Logic,Journal,15293785,1557945X,Association for Computing Machinery,United States,Computer Science (all),Computational Mathematics,Logic,Theoretical Computer Science,-,-,-,-,-
ACM Transactions on Computer Systems,Journal,07342071,15577333,Association for Computing Machinery,United States,Computer Science (all),-,-,-,-,-,-,-,-
ACM Transactions on Computer-Human Interaction,Journal,10730516,15577325,Association for Computing Machinery,United States,Human-Computer Interaction,-,-,-,-,-,-,-,-
ACM Transactions on Computing Education,Journal,-,19466226,Association for Computing Machinery,United States,Computer Science (all),Education,-,-,-,-,-,-,-
ACM Transactions on Computing for Healthcare,Journal,26911957,26378051,Association for Computing Machinery,United States,Computer Science Applications,Information Systems,Software,Biomedical Engineering,Medicine (miscellaneous),Health Informatics,Health Information Management,-,-
ACM Transactions on Cyber-Physical Systems,Journal,2378962X,23789638,Association for Computing Machinery,United States,Artificial Intelligence,Computer Networks and Communications,Hardware and Architecture,Human-Computer Interaction,Control and Optimization,-,-,-,-
ACM Transactions on Database Systems,Journal,03625915,15574644,Association for Computing Machinery,United States,Information Systems,-,-,-,-,-,-,-,-
ACM Transactions on Design Automation of Electronic Systems,Journal,10844309,15577309,Association for Computing Machinery,United States,Computer Graphics and Computer-Aided Design,Computer Science Applications,Electrical and Electronic Engineering,-,-,-,-,-,-
ACM Transactions on Economics and Computation,Journal,21678375,21678383,Association for Computing Machinery,United States,Marketing,Computer Science (miscellaneous),Economics and Econometrics,Computational Mathematics,Statistics and Probability,-,-,-,-
ACM Transactions on Embedded Computing Systems,Journal,15399087,15583465,Association for Computing Machinery,United States,Hardware and Architecture,Software,-,-,-,-,-,-,-
ACM Transactions on Graphics,Journal,07300301,15577368,Association for Computing Machinery,United States,Computer Graphics and Computer-Aided Design,-,-,-,-,-,-,-,-
ACM Transactions on Human-Robot Interaction,Journal,-,25739522,Association for Computing Machinery,United States,Artificial Intelligence,Human-Computer Interaction,-,-,-,-,-,-,-
ACM Transactions on Information Systems,Journal,10468188,15582868,Association for Computing Machinery,United States,"Business, Management and Accounting (all)",Computer Science Applications,Information Systems,-,-,-,-,-,-
ACM Transactions on Intelligent Systems and Technology,Journal,21576904,21576912,Association for Computing Machinery,United States,Artificial Intelligence,Theoretical Computer Science,-,-,-,-,-,-,-
ACM Transactions on Interactive Intelligent Systems,Journal,21606455,21606463,Association for Computing Machinery,United States,Artificial Intelligence,Human-Computer Interaction,-,-,-,-,-,-,-
ACM Transactions on Internet of Things,Journal,25776207,-,Association for Computing Machinery,United States,Computer Networks and Communications,Computer Science Applications,Hardware and Architecture,Information Systems,Software,-,-,-,-
ACM Transactions on Internet Technology,Journal,15335399,15576051,Association for Computing Machinery,United States,Computer Networks and Communications,-,-,-,-,-,-,-,-
ACM Transactions on Knowledge Discovery from Data,Journal,15564681,1556472X,Association for Computing Machinery,United States,Computer Science (all),-,-,-,-,-,-,-,-
ACM Transactions on Management Information Systems,Journal,2158656X,21586578,Association for Computing Machinery,United States,Management Information Systems,Computer Science (all),-,-,-,-,-,-,-
ACM Transactions on Mathematical Software,Journal,00983500,15577295,Association for Computing Machinery,United States,Software,Applied Mathematics,-,-,-,-,-,-,-
ACM Transactions on Modeling and Computer Simulation,Journal,10493301,15581195,Association for Computing Machinery,United States,Computer Science Applications,Modeling and Simulation,-,-,-,-,-,-,-
ACM Transactions on Modeling and Performance Evaluation of Computing Systems,Journal,23763639,23763647,Association for Computing Machinery,United States,Computer Science (miscellaneous),Computer Networks and Communications,Hardware and Architecture,Information Systems,Software,"Safety, Risk, Reliability and Quality",Media Technology,-,-
"ACM Transactions on Multimedia Computing, Communications and Applications",Journal,15516857,15516865,Association for Computing Machinery,United States,Computer Networks and Communications,Hardware and Architecture,-,-,-,-,-,-,-
ACM Transactions on Parallel Computing,Journal,23294949,23294957,Association for Computing Machinery,United States,Computational Theory and Mathematics,Computer Science Applications,Hardware and Architecture,Software,Modeling and Simulation,-,-,-,-
ACM Transactions on Privacy and Security,Journal,24712566,24712574,Association for Computing Machinery,United States,Computer Science (all),"Safety, Risk, Reliability and Quality",-,-,-,-,-,-,-
ACM Transactions on Programming Languages and Systems,Journal,01640925,15584593,Association for Computing Machinery,United States,Software,-,-,-,-,-,-,-,-
ACM Transactions on Quantum Computing,Journal,26436809,26436817,Association for Computing Machinery,United States,Computer Science (miscellaneous),Computational Theory and Mathematics,Theoretical Computer Science,Statistical and Nonlinear Physics,-,-,-,-,-
ACM Transactions on Reconfigurable Technology and Systems,Journal,19367406,19367414,Association for Computing Machinery,United States,Computer Science (all),-,-,-,-,-,-,-,-
ACM Transactions on Sensor Networks,Journal,15504859,15504867,Association for Computing Machinery,United States,Computer Networks and Communications,-,-,-,-,-,-,-,-
ACM Transactions on Social Computing,Journal,24697818,24697826,Association for Computing Machinery,United States,Computer Networks and Communications,Information Systems,-,-,-,-,-,-,-
ACM Transactions on Software Engineering and Methodology,Journal,1049331X,15577392,Association for Computing Machinery,United States,Software,-,-,-,-,-,-,-,-
ACM Transactions on Spatial Algorithms and Systems,Journal,23740353,23740361,Association for Computing Machinery,United States,Computer Science Applications,Information Systems,Signal Processing,Discrete Mathematics and Combinatorics,Geometry and Topology,Modeling and Simulation,-,-,-
ACM Transactions on Storage,Journal,15533077,15533093,Association for Computing Machinery,United States,Hardware and Architecture,-,-,-,-,-,-,-,-
ACM Transactions on the Web,Journal,15591131,1559114X,Association for Computing Machinery,United States,Computer Networks and Communications,-,-,-,-,-,-,-,-
ACM/IEEE International Conference on Human-Robot Interaction,Proceeding,-,21672148,IEEE Computer Society,United States,Artificial Intelligence,Human-Computer Interaction,Electrical and Electronic Engineering,-,-,-,-,-,-
ACM/IMS Transactions on Data Science,Journal,26911922,25773224,Association for Computing Machinery,United States,Computer Networks and Communications,Computer Science Applications,Information Systems,Information Systems and Management,-,-,-,-,-
Acoustical Physics,Journal,10637710,15626865,Pleiades Publishing,Russian Federation,Acoustics and Ultrasonics,-,-,-,-,-,-,-,-
Acoustical Science and Technology,Journal,13463969,13475177,Acoustical Society of Japan,Japan,Acoustics and Ultrasonics,-,-,-,-,-,-,-,OA (ROAD)
Acoustics Australia,Journal,08146039,18392571,Springer,Singapore,Acoustics and Ultrasonics,-,-,-,-,-,-,-,-
Acoustics Bulletin,Journal,0308437X,-,Institute of Acoustics,United Kingdom,Acoustics and Ultrasonics,-,-,-,-,-,-,-,-
ACS Applied Bio Materials,Journal,-,25766422,American Chemical Society,United States,Chemistry (all),Biomedical Engineering,Biomaterials,Biochemistry (medical),-,-,-,-,-
ACS Applied Electronic Materials,Journal,-,26376113,American Chemical Society,United States,Electrochemistry,"Electronic, Optical and Magnetic Materials",Materials Chemistry,-,-,-,-,-,-
ACS Applied Energy Materials,Journal,-,25740962,American Chemical Society,United States,Chemical Engineering (miscellaneous),Electrochemistry,Energy Engineering and Power Technology,Electrical and Electronic Engineering,Materials Chemistry,-,-,-,-
ACS Applied Materials and Interfaces,Journal,19448244,19448252,American Chemical Society,United States,Materials Science (all),-,-,-,-,-,-,-,-
ACS Applied Nano Materials,Journal,-,25740970,American Chemical Society,United States,Materials Science (all),-,-,-,-,-,-,-,-
ACS Applied Polymer Materials,Journal,-,26376105,American Chemical Society,United States,Process Chemistry and Technology,Organic Chemistry,Polymers and Plastics,-,-,-,-,-,-
ACS Biomaterials Science and Engineering,Journal,-,23739878,American Chemical Society,United States,Biomedical Engineering,Biomaterials,-,-,-,-,-,-,-
ACS Catalysis,Journal,-,21555435,American Chemical Society,United States,Catalysis,Chemistry (all),-,-,-,-,-,-,-
ACS Central Science,Journal,23747943,23747951,American Chemical Society,United States,Chemical Engineering (all),Chemistry (all),-,-,-,-,-,-,OA (DOAJ)
ACS Energy Letters,Journal,-,23808195,American Chemical Society,United States,Chemistry (miscellaneous),Energy Engineering and Power Technology,Fuel Technology,"Renewable Energy, Sustainability and the Environment",Materials Chemistry,-,-,-,-
ACS Macro Letters,Journal,-,21611653,American Chemical Society,United States,Inorganic Chemistry,Organic Chemistry,Materials Chemistry,Polymers and Plastics,-,-,-,-,-
ACS Materials Letters,Journal,-,26394979,American Chemical Society,United States,Chemical Engineering (all),Biomedical Engineering,Materials Science (all),-,-,-,-,-,-
ACS Nano,Journal,19360851,1936086X,American Chemical Society,United States,Engineering (all),Materials Science (all),Physics and Astronomy (all),-,-,-,-,-,-
ACS Photonics,Journal,-,23304022,American Chemical Society,United States,Biotechnology,Electrical and Electronic Engineering,"Electronic, Optical and Magnetic Materials","Atomic and Molecular Physics, and Optics",-,-,-,-,-
ACS Sensors,Journal,-,23793694,American Chemical Society,United States,Bioengineering,Fluid Flow and Transfer Processes,Process Chemistry and Technology,Instrumentation,-,-,-,-,-
ACS Sustainable Chemistry and Engineering,Journal,-,21680485,American Chemical Society,United States,Chemical Engineering (all),Chemistry (all),"Renewable Energy, Sustainability and the Environment",Environmental Chemistry,-,-,-,-,-
ACS Symposium Series,Book series,00976156,19475918,American Chemical Society,United States,Chemical Engineering (all),Chemistry (all),-,-,-,-,-,-,-
Acta Acustica,Journal,-,26814617,"European Acoustics Association, EAA",France,Computer Science Applications,Electrical and Electronic Engineering,Acoustics and Ultrasonics,Speech and Hearing,-,-,-,-,OA (DOAJ)
Acta Applicandae Mathematicae,Journal,01678019,15729036,Springer Science and Business Media B.V.,Netherlands,Applied Mathematics,-,-,-,-,-,-,-,-
Acta Astronautica,Journal,00945765,-,Elsevier Ltd,United Kingdom,Aerospace Engineering,-,-,-,-,-,-,-,-
Acta Biomaterialia,Journal,17427061,18787568,Acta Materialia Inc,United Kingdom,Biochemistry,Biotechnology,Molecular Biology,Biomedical Engineering,Biomaterials,-,-,-,-
"Acta Crystallographica Section B: Structural Science, Crystal Engineering and Materials",Journal,20525192,20525206,International Union of Crystallography,United Kingdom,"Electronic, Optical and Magnetic Materials",Materials Chemistry,Metals and Alloys,"Atomic and Molecular Physics, and Optics",-,-,-,-,-
Acta Crystallographica Section C: Structural Chemistry,Journal,-,20532296,International Union of Crystallography,United Kingdom,Inorganic Chemistry,Physical and Theoretical Chemistry,Materials Chemistry,Condensed Matter Physics,-,-,-,-,-
Acta Cybernetica,Journal,0324721X,-,"University of Szeged, Institute of Informatics",Hungary,Computer Science (miscellaneous),Computational Theory and Mathematics,Computer Vision and Pattern Recognition,Software,Information Systems and Management,Management Science and Operations Research,Electrical and Electronic Engineering,Theoretical Computer Science,-
Acta Geochimica,Journal,20960956,23657499,Science Press,United States,Geochemistry and Petrology,-,-,-,-,-,-,-,-
Acta Geodaetica et Geophysica,Journal,22135812,22135820,Akademiai Kiado ZRt.,Switzerland,Geology,Geophysics,Building and Construction,-,-,-,-,-,-
Acta Geophysica,Journal,18956572,18957455,Springer Science and Business Media Deutschland GmbH,Switzerland,Geophysics,-,-,-,-,-,-,-,-
Acta Geophysica Sinica,Journal,00015733,-,Editorial Office of Chinese Journal of Geophysics,China,Geochemistry and Petrology,Geophysics,-,-,-,-,-,-,OA (DOAJ)
Acta Informatica,Journal,00015903,14320525,Springer Science and Business Media Deutschland GmbH,Germany,Computer Networks and Communications,Information Systems,Software,-,-,-,-,-,-
Acta Materialia,Journal,13596454,-,Acta Materialia Inc,United Kingdom,Ceramics and Composites,"Electronic, Optical and Magnetic Materials",Metals and Alloys,Polymers and Plastics,-,-,-,-,-
Acta Mechanica,Journal,00015970,16196937,Springer,Austria,Computational Mechanics,Mechanical Engineering,-,-,-,-,-,-,-
Acta Mechanica Sinica/Lixue Xuebao,Journal,05677718,16143116,Springer Verlag,Germany,Computational Mechanics,Mechanical Engineering,-,-,-,-,-,-,-
Acta Mechanica Solida Sinica,Journal,08949166,18602134,Springer,Singapore,Computational Mechanics,Mechanical Engineering,Mechanics of Materials,-,-,-,-,-,-
Acta Metallurgica Sinica (English Letters),Journal,10067191,21941289,Springer,China,Industrial and Manufacturing Engineering,Metals and Alloys,-,-,-,-,-,-,-
Acta Physica Polonica A,Journal,05874246,1898794X,Polska Akademia Nauk,Poland,Physics and Astronomy (all),-,-,-,-,-,-,-,-
Acta Physica Polonica B,Journal,05874254,15095770,Jagiellonian University,Poland,Physics and Astronomy (all),-,-,-,-,-,-,-,OA (ROAD)
"Acta Physica Polonica B, Proceedings Supplement",Journal,18992358,-,Jagiellonian University,Poland,Physics and Astronomy (all),-,-,-,-,-,-,-,OA (ROAD)
Acta Radiologica,Journal,02841851,16000455,SAGE Publications Inc.,United Kingdom,"Radiology, Nuclear Medicine and Imaging",Radiological and Ultrasound Technology,-,-,-,-,-,-,OA (DOAJ)
"Acta Scientiarum Polonorum, Technologia Alimentaria",Journal,16440730,18989594,Wydawnictwo Uniwersytetu Przyrodniczego w Poznaniu,Poland,Food Science,-,-,-,-,-,-,-,-
Acta Universitatis Cibiniensis - Series E: Food Technology,Journal,12214973,-,Sciendo,Romania,Food Science,Industrial and Manufacturing Engineering,-,-,-,-,-,-,-
Active and Passive Electronic Components,Journal,08827516,15635031,Hindawi Limited,United States,Electrical and Electronic Engineering,"Electronic, Optical and Magnetic Materials",-,-,-,-,-,-,OA (DOAJ/ROAD)
Ad Hoc Networks,Journal,15708705,-,Elsevier B.V.,Netherlands,Computer Networks and Communications,Hardware and Architecture,Software,-,-,-,-,-,-
Ada User Journal,Journal,13816551,-,Ada-Europe,Portugal,Software,-,-,-,-,-,-,-,-
Additive Manufacturing,Journal,-,22148604,Elsevier B.V.,Netherlands,Engineering (miscellaneous),Biomedical Engineering,Industrial and Manufacturing Engineering,Materials Science (all),-,-,-,-,-
Adsorption,Journal,09295607,15728757,Springer,United States,Chemical Engineering (all),Chemistry (all),Surfaces and Interfaces,-,-,-,-,-,-
Adsorption Science and Technology,Journal,02636174,20484038,Hindawi Limited,United Kingdom,Chemical Engineering (all),Chemistry (all),Surfaces and Interfaces,-,-,-,-,-,OA (DOAJ)
Advanced Biology,Journal,27010198,-,John Wiley and Sons Inc,Germany,"Biochemistry, Genetics and Molecular Biology (all)",Biomedical Engineering,Biomaterials,-,-,-,-,-,-
Advanced Biomedical Engineering,Journal,-,21875219,Japan Soc. of Med. Electronics and Biol. Engineering,Japan,Biotechnology,Computer Science Applications,Computer Vision and Pattern Recognition,Biomedical Engineering,Biomaterials,-,-,-,OA (DOAJ)
Advanced Biosystems,Journal,-,23667478,John Wiley and Sons Inc,Germany,"Biochemistry, Genetics and Molecular Biology (all)",Biomedical Engineering,Biomaterials,-,-,-,-,-,-
Advanced Composite Materials,Journal,09243046,15685519,Taylor and Francis Ltd.,United Kingdom,Mechanical Engineering,Mechanics of Materials,Ceramics and Composites,-,-,-,-,-,-
Advanced Composites and Hybrid Materials,Journal,25220128,25220136,Springer Science and Business Media B.V.,Netherlands,Materials Science (miscellaneous),Ceramics and Composites,Materials Chemistry,Polymers and Plastics,-,-,-,-,-
Advanced Composites Letters,Journal,09636935,2633366X,SAGE Publications Ltd,United Kingdom,Industrial and Manufacturing Engineering,Ceramics and Composites,-,-,-,-,-,-,OA (DOAJ)
Advanced Concurrent Engineering,Proceeding,18655440,-,Springer-Verlag London Ltd,United Kingdom,Software,-,-,-,-,-,-,-,-
Advanced Control for Applications: Engineering and Industrial Systems,Journal,-,25780727,John Wiley and Sons Inc,United States,Artificial Intelligence,Computer Networks and Communications,Computer Science Applications,Signal Processing,Energy (miscellaneous),Control and Systems Engineering,Modeling and Simulation,-,-
Advanced Drug Delivery Reviews,Journal,0169409X,18728294,Elsevier B.V.,Netherlands,Pharmaceutical Science,-,-,-,-,-,-,-,OA (DOAJ)
Advanced Electromagnetics,Journal,-,21190275,Advanced Electromagnetics,France,Electrical and Electronic Engineering,"Electronic, Optical and Magnetic Materials",Radiation,-,-,-,-,-,OA (DOAJ)
Advanced Electromagnetics Symposium,Proceeding,-,24912417,AES Conference,France,Electrical and Electronic Engineering,"Electronic, Optical and Magnetic Materials",Modeling and Simulation,Radiation,-,-,-,-,-
Advanced Electronic Materials,Journal,-,2199160X,John Wiley and Sons Inc,United Kingdom,"Electronic, Optical and Magnetic Materials",-,-,-,-,-,-,-,-
Advanced Energy Materials,Journal,16146832,16146840,John Wiley and Sons Inc,Germany,"Renewable Energy, Sustainability and the Environment",Materials Science (all),-,-,-,-,-,-,-
Advanced Engine Design and Performance,Proceeding,15439658,-,Environmental and Engineering Geophysical Society (EEGS),United States,Fuel Technology,Aerospace Engineering,Automotive Engineering,Mechanical Engineering,-,-,-,-,-
Advanced Engineering Informatics,Journal,14740346,-,Elsevier Ltd,United Kingdom,Artificial Intelligence,Information Systems,-,-,-,-,-,-,-
Advanced Engineering Materials,Journal,14381656,15272648,John Wiley and Sons Inc,Germany,Materials Science (all),Condensed Matter Physics,-,-,-,-,-,-,-
Advanced Fiber Materials,Journal,25247921,2524793X,Springer,China,Materials Science (miscellaneous),"Electronic, Optical and Magnetic Materials",Materials Chemistry,Polymers and Plastics,-,-,-,-,-
Advanced Functional Materials,Journal,1616301X,16163028,John Wiley and Sons Inc,Germany,Chemistry (all),Electrochemistry,Materials Science (all),Biomaterials,"Electronic, Optical and Magnetic Materials",Condensed Matter Physics,-,-,-
Advanced Healthcare Materials,Journal,21922640,21922659,John Wiley and Sons Inc,Germany,Biomedical Engineering,Biomaterials,Pharmaceutical Science,-,-,-,-,-,-
Advanced Industrial and Engineering Polymer Research,Journal,-,25425048,KeAi Communications Co.,China,Chemical Engineering (miscellaneous),Industrial and Manufacturing Engineering,Materials Science (miscellaneous),Polymers and Plastics,-,-,-,-,OA (DOAJ)
Advanced Intelligent Systems,Journal,-,26404567,John Wiley and Sons Inc,United States,Artificial Intelligence,Computer Vision and Pattern Recognition,Human-Computer Interaction,Control and Systems Engineering,Electrical and Electronic Engineering,Mechanical Engineering,Materials Science (miscellaneous),-,OA (DOAJ)
Advanced Manufacturing: Polymer and Composites Science,Journal,-,20550359,Taylor and Francis Ltd.,United Kingdom,Management of Technology and Innovation,Electrical and Electronic Engineering,Polymers and Plastics,-,-,-,-,-,OA (DOAJ)
Advanced Materials,Journal,09359648,15214095,John Wiley and Sons Inc,Germany,Mechanical Engineering,Mechanics of Materials,Materials Science (all),-,-,-,-,-,-
Advanced Materials and Processes,Trade journal,08827958,-,ASM International,United States,Mechanical Engineering,Mechanics of Materials,Materials Science (all),-,-,-,-,-,-
Advanced Materials Interfaces,Journal,-,21967350,John Wiley and Sons Inc,Germany,Mechanical Engineering,Mechanics of Materials,-,-,-,-,-,-,-
Advanced Materials Technologies,Journal,-,2365709X,John Wiley and Sons Inc,United Kingdom,Industrial and Manufacturing Engineering,Mechanics of Materials,Materials Science (all),-,-,-,-,-,-
Advanced Metallization Conference (AMC),Proceeding,15401766,-,Materials Research Society,United States,Industrial and Manufacturing Engineering,Materials Science (all),-,-,-,-,-,-,-
Advanced Optical Materials,Journal,-,21951071,John Wiley and Sons Inc,Germany,"Electronic, Optical and Magnetic Materials","Atomic and Molecular Physics, and Optics",-,-,-,-,-,-,-
Advanced Photonics,Journal,-,25775421,SPIE,United States,Biomedical Engineering,"Electronic, Optical and Magnetic Materials","Atomic and Molecular Physics, and Optics",-,-,-,-,-,OA (DOAJ)
Advanced Powder Technology,Journal,09218831,15685527,Elsevier B.V.,Netherlands,Chemical Engineering (all),Mechanics of Materials,-,-,-,-,-,-,-
Advanced Quantum Technologies,Journal,-,25119044,John Wiley and Sons Inc,Germany,Computational Theory and Mathematics,Electrical and Electronic Engineering,"Electronic, Optical and Magnetic Materials",Mathematical Physics,Condensed Matter Physics,Nuclear and High Energy Physics,Statistical and Nonlinear Physics,-,-
Advanced Robotics,Journal,01691864,15685535,Robotics Society of Japan,Japan,Computer Science Applications,Hardware and Architecture,Human-Computer Interaction,Software,Control and Systems Engineering,-,-,-,-
Advanced Science,Journal,-,21983844,John Wiley and Sons Inc,Germany,"Biochemistry, Genetics and Molecular Biology (miscellaneous)",Chemical Engineering (all),Engineering (all),Materials Science (all),Medicine (miscellaneous),Physics and Astronomy (all),-,-,OA (DOAJ)
Advanced Steel Construction,Journal,1816112X,-,Hong Kong Institute of Steel Construction,Hong Kong,Civil and Structural Engineering,Mechanical Engineering,Mechanics of Materials,Building and Construction,-,-,-,-,-
Advanced Sustainable Systems,Journal,-,23667486,John Wiley and Sons Inc,Germany,"Renewable Energy, Sustainability and the Environment",Environmental Science (all),-,-,-,-,-,-,-
Advanced Textbooks in Control and Signal Processing,Book series,14392232,25103814,Springer Science and Business Media Deutschland GmbH,United Kingdom,Signal Processing,Control and Systems Engineering,Education,-,-,-,-,-,-
Advanced Theory and Simulations,Journal,-,25130390,John Wiley and Sons Inc,Germany,Multidisciplinary,Modeling and Simulation,Numerical Analysis,Statistics and Probability,-,-,-,-,-
Advanced Topics in Science and Technology in China,Book series,19956819,19956827,Springer Science and Business Media Deutschland GmbH,Germany,Multidisciplinary,Chemical Engineering (all),Engineering (all),-,-,-,-,-,-
Advances in Aerodynamics,Journal,-,25246992,Springer,Singapore,"Renewable Energy, Sustainability and the Environment",Aerospace Engineering,Civil and Structural Engineering,Mechanical Engineering,Modeling and Simulation,-,-,-,OA (DOAJ)
Advances in Applied Ceramics,Journal,17436753,17436761,Taylor and Francis Ltd.,United Kingdom,Industrial and Manufacturing Engineering,Ceramics and Composites,-,-,-,-,-,-,-
Advances in Applied Mathematics,Journal,01968858,10902074,Academic Press Inc.,United States,Applied Mathematics,-,-,-,-,-,-,-,-
Advances in Applied Mechanics,Book series,00652156,-,Academic Press Inc.,United States,Computational Mechanics,Mechanical Engineering,-,-,-,-,-,-,-
Advances in Applied Probability,Journal,00018678,-,Cambridge University Press,United Kingdom,Applied Mathematics,Statistics and Probability,-,-,-,-,-,-,-
Advances in Building Energy Research,Journal,17512549,17562201,Taylor and Francis Ltd.,United Kingdom,Building and Construction,-,-,-,-,-,-,-,-
Advances in Cement Research,Journal,09517197,17517605,ICE Publishing,United Kingdom,Building and Construction,Materials Science (all),-,-,-,-,-,-,-
