"COMPENDEX SOURCE LIST: UPDATED FEBRUARY 1, 2023",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Dianji yu Kongzhi Xuebao/Electric Machines and Control,Journal,1007449X,-,Editorial Department of Electric Machines and Control,China,Computer Science Applications,Energy Engineering and Power Technology,Control and Systems Engineering,Electrical and Electronic Engineering,-,-,-,-,-
Dianli Xitong Baohu yu Kongzhi/Power System Protection and Control,Journal,16743415,-,Power System Protection and Control Press,China,Control and Systems Engineering,Electrical and Electronic Engineering,-,-,-,-,-,-,-
Dianli Xitong Zidonghua/Automation of Electric Power Systems,Journal,10001026,-,Automation of Electric Power Systems Press,China,Computer Science Applications,Energy Engineering and Power Technology,Control and Systems Engineering,Electrical and Electronic Engineering,-,-,-,-,-
Dianli Zidonghua Shebei/Electric Power Automation Equipment,Journal,10066047,-,Electric Power Automation Equipment Press,China,Energy Engineering and Power Technology,Control and Systems Engineering,Electrical and Electronic Engineering,-,-,-,-,-,-
Dianwang Jishu/Power System Technology,Journal,10003673,-,Power System Technology Press,China,Energy Engineering and Power Technology,Electrical and Electronic Engineering,Mechanical Engineering,-,-,-,-,-,-
Dianzi Keji Daxue Xuebao/Journal of the University of Electronic Science and Technology of China,Journal,10010548,-,Univ. of Electronic Science and Technology of China,China,Electrical and Electronic Engineering,-,-,-,-,-,-,-,-
Dianzi Yu Xinxi Xuebao/Journal of Electronics and Information Technology,Journal,10095896,-,Science Press,China,Electrical and Electronic Engineering,-,-,-,-,-,-,-,-
Diesel Progress North American Edition,Trade journal,1091370X,-,Diesel and Gas Turbine Publications,United States,Automotive Engineering,Mechanical Engineering,-,-,-,-,-,-,-
Digest of Papers - IEEE Radio Frequency Integrated Circuits Symposium,Proceeding,15292517,-,Institute of Electrical and Electronics Engineers Inc.,United States,Engineering (all),-,-,-,-,-,-,-,-
Digest of Technical Papers - IEEE International Conference on Consumer Electronics,Proceeding,0747668X,-,Institute of Electrical and Electronics Engineers Inc.,United States,Electrical and Electronic Engineering,Industrial and Manufacturing Engineering,-,-,-,-,-,-,-
Digest of Technical Papers - IEEE International Solid-State Circuits Conference,Proceeding,01936530,-,Institute of Electrical and Electronics Engineers Inc.,United States,Electrical and Electronic Engineering,"Electronic, Optical and Magnetic Materials",-,-,-,-,-,-,-
Digest of Technical Papers - SID International Symposium,Proceeding,0097966X,21680159,John Wiley and Sons Inc,United States,Engineering (all),-,-,-,-,-,-,-,-
Digest of Technical Papers - Symposium on VLSI Technology,Proceeding,07431562,-,Institute of Electrical and Electronics Engineers Inc.,United States,Electrical and Electronic Engineering,-,-,-,-,-,-,-,-
Digests of the Intermag Conference,Proceeding,00746843,-,Institute of Electrical and Electronics Engineers Inc.,United States,"Electronic, Optical and Magnetic Materials","Surfaces, Coatings and Films",Surfaces and Interfaces,-,-,-,-,-,-
Digital Biomarkers,Journal,-,2504110X,S. Karger AG,Switzerland,Computer Science Applications,Medicine (miscellaneous),Health Informatics,-,-,-,-,-,OA (DOAJ)
Digital Creativity,Journal,14626268,17443806,Routledge,United Kingdom,Arts and Humanities (miscellaneous),Computational Theory and Mathematics,Computer Graphics and Computer-Aided Design,Human-Computer Interaction,-,-,-,-,-
Digital Government: Research and Practice,Journal,26390175,-,Association for Computing Machinery,United States,Computer Networks and Communications,Computer Science Applications,Information Systems,Software,Public Administration,-,-,-,-
Digital Library Perspectives,Journal,20595816,-,Emerald Publishing,United Kingdom,Information Systems,Education,Library and Information Sciences,-,-,-,-,-,-
Digital Signal Processing: A Review Journal,Journal,10512004,-,Elsevier Inc.,United States,Artificial Intelligence,Computational Theory and Mathematics,Computer Vision and Pattern Recognition,Signal Processing,"Statistics, Probability and Uncertainty",Electrical and Electronic Engineering,Applied Mathematics,-,-
Digital Threats: Research and Practice,Journal,-,25765337,Association for Computing Machinery,United States,Computer Networks and Communications,Computer Science Applications,Hardware and Architecture,Information Systems,Software,Safety Research,-,-,-
Dili Xuebao/Acta Geographica Sinica,Journal,03755444,-,Science Press,China,Earth and Planetary Sciences (all),"Geography, Planning and Development",-,-,-,-,-,-,OA (DOAJ)
Diqiu Kexue - Zhongguo Dizhi Daxue Xuebao/Earth Science - Journal of China University of Geosciences,Journal,10002383,-,China University of Geosciences,China,Computer Science Applications,Earth and Planetary Sciences (all),Building and Construction,-,-,-,-,-,-
Discrete Applied Mathematics,Journal,0166218X,-,Elsevier B.V.,Netherlands,Applied Mathematics,Discrete Mathematics and Combinatorics,-,-,-,-,-,-,-
Discrete Event Dynamic Systems: Theory and Applications,Journal,09246703,15737594,Springer,United States,Control and Systems Engineering,Electrical and Electronic Engineering,Modeling and Simulation,-,-,-,-,-,-
Discrete Mathematics and Applications,Journal,09249265,-,De Gruyter Open Ltd,Germany,Applied Mathematics,Discrete Mathematics and Combinatorics,-,-,-,-,-,-,-
Discrete Mathematics and Theoretical Computer Science,Journal,14627264,13658050,Discrete Mathematics and Theoretical Computer Science,France,Computer Science (all),Discrete Mathematics and Combinatorics,Theoretical Computer Science,-,-,-,-,-,OA (DOAJ/ROAD)
Discrete Optimization,Journal,15725286,-,Elsevier B.V.,Netherlands,Computational Theory and Mathematics,Applied Mathematics,Theoretical Computer Science,-,-,-,-,-,-
Displays,Journal,01419382,-,Elsevier B.V.,Netherlands,Hardware and Architecture,Human-Computer Interaction,Electrical and Electronic Engineering,-,-,-,-,-,-
Distill,Journal,24760757,-,Distill Working Group,United States,Artificial Intelligence,Computer Vision and Pattern Recognition,Software,Statistics and Probability,-,-,-,-,-
Distributed and Parallel Databases,Journal,09268782,15737578,Springer,United States,Hardware and Architecture,Information Systems,Software,Information Systems and Management,-,-,-,-,-
Distributed Computing,Journal,01782770,14320452,Springer Science and Business Media Deutschland GmbH,Germany,Computational Theory and Mathematics,Computer Networks and Communications,Hardware and Architecture,Theoretical Computer Science,-,-,-,-,-
Distributed Generation and Alternative Energy Journal,Journal,21563306,21566550,River Publishers,Denmark,Energy Engineering and Power Technology,Electrical and Electronic Engineering,-,-,-,-,-,-,-
Dizhen Dizhi,Journal,02534967,-,State Seismology Administration,China,Geology,-,-,-,-,-,-,-,-
Dizhi Xuebao/Acta Geologica Sinica,Journal,00015717,-,Geological Society of China,China,Geology,-,-,-,-,-,-,-,-
DLR Deutsches Zentrum fur Luft- und Raumfahrt e.V. - Forschungsberichte,Book series,14348454,-,Deutschen Forschungsanstalt fur Luft-und Raumfahrt,Germany,Space and Planetary Science,Aerospace Engineering,Applied Mathematics,-,-,-,-,-,-
Doklady Earth Sciences,Journal,1028334X,15318354,Pleiades Publishing,Russian Federation,Earth and Planetary Sciences (all),Earth and Planetary Sciences (miscellaneous),-,-,-,-,-,-,-
Doklady Physics,Journal,10283358,15626903,Pleiades Publishing,Russian Federation,Computational Mechanics,Mechanics of Materials,Physics and Astronomy (all),-,-,-,-,-,-
Dongbei Daxue Xuebao/Journal of Northeastern University,Journal,10053026,-,Northeast University,China,Computer Science Applications,Engineering (all),Applied Mathematics,-,-,-,-,-,-
Dongnan Daxue Xuebao (Ziran Kexue Ban)/Journal of Southeast University (Natural Science Edition),Journal,10010505,-,Southeast University,China,Engineering (all),-,-,-,-,-,-,-,-
Drinking Water Engineering and Science,Journal,19969457,19969465,Copernicus Publications,Germany,Civil and Structural Engineering,Pollution,Water Science and Technology,-,-,-,-,-,OA (DOAJ)
Drone Systems and Applications,Journal,-,25644939,Canadian Science Publishing,Canada,Computer Science Applications,Aerospace Engineering,Automotive Engineering,Control and Systems Engineering,Electrical and Electronic Engineering,Control and Optimization,-,-,OA (DOAJ)
Drvna Industrija,Journal,00126772,18471153,Journal Drvna Industrija,Croatia,Forestry,-,-,-,-,-,-,-,OA (DOAJ)
Drying Technology,Journal,07373937,15322300,Taylor and Francis Ltd.,United States,Chemical Engineering (all),Physical and Theoretical Chemistry,-,-,-,-,-,-,OA (DOAJ)
Dyes and Pigments,Journal,01437208,18733743,Elsevier Ltd,United Kingdom,Chemical Engineering (all),Process Chemistry and Technology,-,-,-,-,-,-,-
Dynamical Systems,Journal,14689367,14689375,Taylor and Francis Ltd.,United Kingdom,Computer Science Applications,Mathematics (all),-,-,-,-,-,-,-
Dynamics of Atmospheres and Oceans,Journal,03770265,-,Elsevier Ltd,United Kingdom,Atmospheric Science,Computers in Earth Sciences,Geology,Oceanography,-,-,-,-,OA (DOAJ)
EAI Endorsed Transactions on Energy Web,Journal,-,2032944X,European Alliance for Innovation,Belgium,Marketing,Information Systems,Energy Engineering and Power Technology,"Renewable Energy, Sustainability and the Environment",Control and Systems Engineering,-,-,-,OA (DOAJ)
